Timestamp,NOBITEX Last Update Time ,RAMZINEX Last Update Time,Exchange,Symbol (NOBITEX),Pair ID (RAMZINEX),Lowest Ask Price (NOBITEX),Highest Bid Price (NOBITEX),Lowest Ask Price (RAMZINEX),Highest Bid Price (RAMZINEX),Lowest Ask Volume(NOBITEX),Highest Bid Volume (NOBITEX),Lowest Ask Volume (RAMZINEX),Highest Bid Volume (RAMZINEX),Benefit,Percent,Action,Nobitex To Ramzinex Unit Ratio
2023-12-12 16:35:36,1702386334634,0,NOBITEX-RAMZINEX,DOGEIRT,10,48860.0,48854.0,48902.0,48902.0,58.0,1504.0,1982.0,613.0,2436.0,1.0008595988538682,1,1
2023-12-12 16:35:36,1702386334708,0,NOBITEX-RAMZINEX,DOTIRT,29,3673000.0,3656780.0,3693157.0,3685446.0,39.2,1908.4,28.2266,5.97,74302.62,1.003388510754152,1,1
2023-12-12 16:35:36,1702386334611,0,NOBITEX-RAMZINEX,TRXIRT,25,53060.0,53050.0,53360.0,53359.0,58.2,3219.5,2741.300913,122.2234,17401.8,1.0056351300414625,1,1
2023-12-12 16:35:36,1702386334788,0,NOBITEX-RAMZINEX,CELRIRT,269,10350.0,10300.0,10294.0,10244.0,679033.9,1409.6,114.84,15000.0,689.04,1.0005828638041578,1,1
2023-12-12 16:35:36,1702386334638,0,NOBITEX-RAMZINEX,MATICIRT,71,449460.0,448200.0,448000.0,447943.0,309.0,5.0,18.7585,892.97,1000.0,1.0004464285714285,1,1
2023-12-12 16:35:36,1702386334712,0,NOBITEX-RAMZINEX,SNXIRT,374,2370600.0,2362010.0,2499980.0,2377141.0,128.6,2950.0,48.5059,5.96,38984.36,1.0027592170758457,1,1
2023-12-12 16:35:36,1702386334801,0,NOBITEX-RAMZINEX,SNTIRT,384,21470.0,21420.0,21000.0,20461.0,8950.0,666.7,293.0,2667.0,123060.0,1.02,1,1
2023-12-12 16:35:36,1702386334975,0,NOBITEX-RAMZINEX,DAIUSDT,240,1.0015,1.0,1.05,1.03,1348.79,15267.82,18.9,0.01,0.0002849999999999997,1.0284573140289566,1,1
2023-12-12 16:35:39,1702386337708,0,NOBITEX-RAMZINEX,USDTIRT,11,507780.0,507770.0,508448.0,508448.0,14.51,207.27,332.05,157.6399,9692.68,1.0013155303477883,1,1
2023-12-12 16:35:39,1702386337687,0,NOBITEX-RAMZINEX,DOGEIRT,10,48860.0,48854.0,48902.0,48901.0,58.0,1504.0,1369.0,19.0,779.0,1.0008391322144903,0,1
2023-12-12 16:35:39,1702386337746,0,NOBITEX-RAMZINEX,DOTIRT,29,3673000.0,3656780.0,3693157.0,3685446.0,39.2,1908.4,28.2266,5.97,74302.62,1.003388510754152,0,1
