Timestamp,NOBITEX Last Update Time ,RAMZINEX Last Update Time,Exchange,Symbol (NOBITEX),Pair ID (RAMZINEX),Lowest Ask Price (NOBITEX),Highest Bid Price (NOBITEX),Lowest Ask Price (RAMZINEX),Highest Bid Price (RAMZINEX),Lowest Ask Volume(NOBITEX),Highest Bid Volume (NOBITEX),Lowest Ask Volume (RAMZINEX),Highest Bid Volume (RAMZINEX),Benefit,Percent,Action,Nobitex To Ramzinex Unit Ratio,Buy Price,Sell Price,Buy Side,Sell Side,Our trading volume
2023-12-18 16:02:05,1702902723608,0,NOBITEX-RAMZINEX,CELRIRT,269,9100.0,9070.0,8953.0,8925.0,4161.1,2880.0,452.0101,120.0,52885.1817,1.0130682452809114,1,1,8953.0,9070.0,ramzinex,nobitex,452.0101
2023-12-18 16:02:05,1702902723597,0,NOBITEX-RAMZINEX,GMXIRT,370,22140550.0,21870070.0,21858017.0,19350003.0,190.0,0.2217,0.176,0.17,2121.328,1.000551422391153,1,1,21858017.0,21870070.0,ramzinex,nobitex,0.176
2023-12-18 16:02:05,1702902723537,0,NOBITEX-RAMZINEX,SNXIRT,374,1798000.0,1785090.0,2150000.0,2030405.0,242.8,2.9,0.05,0.95,220784.75,1.1292575083426029,1,1,1798000.0,2030405.0,nobitex,ramzinex,0.95
2023-12-18 16:02:05,1702902723666,0,NOBITEX-RAMZINEX,SKLIRT,391,20400.0,20320.0,20178.0,19879.0,400.0,1015.7,9306.0,9552.0,144229.4,1.007037367429874,1,1,20178.0,20320.0,ramzinex,nobitex,1015.7
2023-12-18 16:02:05,1702902723660,0,NOBITEX-RAMZINEX,ONEIRT,152,7120.0,7110.0,7086.0,7011.0,991245.0,1367.0,5177.3,11149.42,32808.0,1.0033869602032177,1,1,7086.0,7110.0,ramzinex,nobitex,1367.0
2023-12-18 16:02:05,1702902723521,0,NOBITEX-RAMZINEX,DYDXIRT,251,1454980.0,1450000.0,1446869.0,1429987.0,6.873,1.0,126.361,45.479,3131.0,1.002163983055826,1,1,1446869.0,1450000.0,ramzinex,nobitex,1.0
2023-12-18 16:02:05,1702902723461,0,NOBITEX-RAMZINEX,SHIBIRT,61,5035.0,5020.0,501.0,500.0,3183.0,5000.0,1711822.6799,248031.15,50000.0,1.001996007984032,1,10,5010.0,5020.0,ramzinex,nobitex,5000.0
2023-12-18 16:02:05,1702902723576,0,NOBITEX-RAMZINEX,1M_BTTIRT,39,538800.0,538520.0,548.0,540.0,264.88,259.63,269635.6,257489.8,308987.76,1.0022271714922049,1,1000,538800.0,540000.0,nobitex,ramzinex,257.4898
2023-12-18 16:02:05,1702902723661,0,NOBITEX-RAMZINEX,1B_BABYDOGEIRT,256,722300.0,719000.0,750.0,731.0,989.343,178.415,57171.5,95360.1,829632.87,1.0120448567077391,1,1000,722300.0,731000.0,nobitex,ramzinex,95.3601
2023-12-18 16:02:07,1702902725644,0,NOBITEX-RAMZINEX,CELRIRT,269,9100.0,9070.0,8953.0,8925.0,4161.1,2880.0,452.0101,120.0,52885.1817,1.0130682452809114,0,1,8953.0,9070.0,ramzinex,nobitex,452.0101
2023-12-18 16:02:07,1702902725630,0,NOBITEX-RAMZINEX,GMXIRT,370,22140550.0,21870070.0,21858017.0,19350003.0,190.0,0.2217,0.176,0.17,2121.328,1.000551422391153,0,1,21858017.0,21870070.0,ramzinex,nobitex,0.176
2023-12-18 16:02:07,1702902725569,0,NOBITEX-RAMZINEX,SNXIRT,374,1798000.0,1785090.0,2150000.0,2030405.0,242.8,2.9,0.05,0.95,220784.75,1.1292575083426029,0,1,1798000.0,2030405.0,nobitex,ramzinex,0.95
2023-12-18 16:02:07,1702902725694,0,NOBITEX-RAMZINEX,SKLIRT,391,20400.0,20320.0,20178.0,19879.0,400.0,1015.7,9306.0,9552.0,144229.4,1.007037367429874,0,1,20178.0,20320.0,ramzinex,nobitex,1015.7
2023-12-18 16:02:07,1702902725702,0,NOBITEX-RAMZINEX,ONEIRT,152,7120.0,7110.0,7086.0,7011.0,245.0,1367.0,5177.3,11149.42,32808.0,1.0033869602032177,0,1,7086.0,7110.0,ramzinex,nobitex,1367.0
2023-12-18 16:02:07,1702902725547,0,NOBITEX-RAMZINEX,DYDXIRT,251,1454970.0,1450000.0,1446869.0,1429987.0,4870.0,1.0,126.361,45.479,3131.0,1.002163983055826,0,1,1446869.0,1450000.0,ramzinex,nobitex,1.0
2023-12-18 16:02:07,1702902725484,0,NOBITEX-RAMZINEX,SHIBIRT,61,5036.0,5020.0,501.0,500.0,82382.0,5000.0,1711822.6799,248031.15,50000.0,1.001996007984032,0,10,5010.0,5020.0,ramzinex,nobitex,5000.0
2023-12-18 16:02:07,1702902725609,0,NOBITEX-RAMZINEX,1M_BTTIRT,39,538800.0,538520.0,548.0,540.0,264.88,259.63,269635.6,257489.8,308987.76,1.0022271714922049,0,1000,538800.0,540000.0,nobitex,ramzinex,257.4898
2023-12-18 16:02:07,1702902725699,0,NOBITEX-RAMZINEX,1B_BABYDOGEIRT,256,722300.0,719000.0,750.0,731.0,989.343,178.415,57171.5,95360.1,829632.87,1.0120448567077391,0,1000,722300.0,731000.0,nobitex,ramzinex,95.3601
2023-12-18 16:02:10,1702902728951,0,NOBITEX-RAMZINEX,DOGEIRT,10,45049.0,44831.0,44830.0,44636.0,74918.0,1338.0,175.0,4756.0,175.0,1.0000223064911888,1,1,44830.0,44831.0,ramzinex,nobitex,175.0
2023-12-18 16:02:10,1702902729080,0,NOBITEX-RAMZINEX,CELRIRT,269,9100.0,9070.0,8953.0,8925.0,4161.1,2880.0,452.0101,120.0,52885.1817,1.0130682452809114,0,1,8953.0,9070.0,ramzinex,nobitex,452.0101
2023-12-18 16:02:10,1702902729070,0,NOBITEX-RAMZINEX,GMXIRT,370,22140550.0,21870070.0,21858017.0,19350003.0,190.0,0.2217,0.176,0.17,2121.328,1.000551422391153,0,1,21858017.0,21870070.0,ramzinex,nobitex,0.176
2023-12-18 16:02:10,1702902729007,0,NOBITEX-RAMZINEX,SNXIRT,374,1798000.0,1785090.0,2150000.0,2030405.0,242.8,2.9,0.05,0.95,220784.75,1.1292575083426029,0,1,1798000.0,2030405.0,nobitex,ramzinex,0.95
2023-12-18 16:02:10,1702902729119,0,NOBITEX-RAMZINEX,SKLIRT,391,20400.0,20320.0,20178.0,19879.0,400.0,1015.7,9306.0,9552.0,144229.4,1.007037367429874,0,1,20178.0,20320.0,ramzinex,nobitex,1015.7
2023-12-18 16:02:10,1702902729135,0,NOBITEX-RAMZINEX,ONEIRT,152,7120.0,7110.0,7086.0,7011.0,245.0,1367.0,5177.3,11149.42,32808.0,1.0033869602032177,0,1,7086.0,7110.0,ramzinex,nobitex,1367.0
2023-12-18 16:02:10,1702902728990,0,NOBITEX-RAMZINEX,DYDXIRT,251,1454970.0,1450000.0,1446869.0,1429987.0,4870.0,1.0,126.361,45.479,3131.0,1.002163983055826,0,1,1446869.0,1450000.0,ramzinex,nobitex,1.0
2023-12-18 16:02:10,1702902728928,0,NOBITEX-RAMZINEX,SHIBIRT,61,5036.0,5020.0,501.0,500.0,82382.0,4528.0,1711822.6799,248031.15,45280.0,1.001996007984032,0,10,5010.0,5020.0,ramzinex,nobitex,4528.0
2023-12-18 16:02:10,1702902729137,0,NOBITEX-RAMZINEX,1B_BABYDOGEIRT,256,722300.0,719000.0,750.0,731.0,989.343,178.415,57171.5,95360.1,829632.87,1.0120448567077391,0,1000,722300.0,731000.0,nobitex,ramzinex,95.3601
2023-12-18 16:02:13,1702902730999,0,NOBITEX-RAMZINEX,DOGEIRT,10,45049.0,44832.0,44830.0,44637.0,74918.0,1115.0,175.0,3128.0,350.0,1.000044612982378,0,1,44830.0,44832.0,ramzinex,nobitex,175.0
2023-12-18 16:02:13,1702902731130,0,NOBITEX-RAMZINEX,CELRIRT,269,9100.0,9070.0,8953.0,8925.0,4161.1,2880.0,452.0101,120.0,52885.1817,1.0130682452809114,0,1,8953.0,9070.0,ramzinex,nobitex,452.0101
2023-12-18 16:02:13,1702902731116,0,NOBITEX-RAMZINEX,GMXIRT,370,22140550.0,21870070.0,21858017.0,19350003.0,190.0,0.2217,0.176,0.17,2121.328,1.000551422391153,0,1,21858017.0,21870070.0,ramzinex,nobitex,0.176
2023-12-18 16:02:13,1702902731054,0,NOBITEX-RAMZINEX,SNXIRT,374,1798000.0,1785090.0,2150000.0,2030405.0,242.8,2.9,0.05,0.95,220784.75,1.1292575083426029,0,1,1798000.0,2030405.0,nobitex,ramzinex,0.95
2023-12-18 16:02:13,1702902731168,0,NOBITEX-RAMZINEX,SKLIRT,391,20400.0,20320.0,20178.0,19879.0,400.0,1015.7,9306.0,9552.0,144229.4,1.007037367429874,0,1,20178.0,20320.0,ramzinex,nobitex,1015.7
2023-12-18 16:02:13,1702902731188,0,NOBITEX-RAMZINEX,ONEIRT,152,7120.0,7110.0,7086.0,7011.0,245.0,1367.0,5177.3,11149.42,32808.0,1.0033869602032177,0,1,7086.0,7110.0,ramzinex,nobitex,1367.0
2023-12-18 16:02:13,1702902731029,0,NOBITEX-RAMZINEX,DYDXIRT,251,1454970.0,1450000.0,1447251.0,1429987.0,4870.0,1.0,11.43,45.479,2749.0,1.0018994631891773,0,1,1447251.0,1450000.0,ramzinex,nobitex,1.0
2023-12-18 16:02:13,1702902730969,0,NOBITEX-RAMZINEX,SHIBIRT,61,5036.0,5020.0,501.0,500.0,82382.0,4528.0,1711822.6799,248031.15,45280.0,1.001996007984032,0,10,5010.0,5020.0,ramzinex,nobitex,4528.0
2023-12-18 16:02:13,1702902731182,0,NOBITEX-RAMZINEX,1B_BABYDOGEIRT,256,722300.0,719000.0,750.0,731.0,989.343,178.415,57171.5,95360.1,829632.87,1.0120448567077391,0,1000,722300.0,731000.0,nobitex,ramzinex,95.3601
2023-12-18 16:02:15,1702902732439,0,NOBITEX-RAMZINEX,DOGEIRT,10,45049.0,44832.0,44830.0,44637.0,74918.0,1115.0,175.0,3128.0,350.0,1.000044612982378,0,1,44830.0,44832.0,ramzinex,nobitex,175.0
2023-12-18 16:02:15,1702902732567,0,NOBITEX-RAMZINEX,CELRIRT,269,9100.0,9070.0,8953.0,8925.0,4161.1,2880.0,452.0101,120.0,52885.1817,1.0130682452809114,0,1,8953.0,9070.0,ramzinex,nobitex,452.0101
2023-12-18 16:02:15,1702902732557,0,NOBITEX-RAMZINEX,GMXIRT,370,22140550.0,21870070.0,21858017.0,19350003.0,190.0,0.2217,0.176,0.17,2121.328,1.000551422391153,0,1,21858017.0,21870070.0,ramzinex,nobitex,0.176
2023-12-18 16:02:15,1702902732494,0,NOBITEX-RAMZINEX,SNXIRT,374,1798000.0,1785090.0,2150000.0,2030405.0,242.8,2.9,0.05,0.95,220784.75,1.1292575083426029,0,1,1798000.0,2030405.0,nobitex,ramzinex,0.95
2023-12-18 16:02:15,1702902732604,0,NOBITEX-RAMZINEX,SKLIRT,391,20400.0,20320.0,20178.0,19879.0,400.0,1015.7,9306.0,9552.0,144229.4,1.007037367429874,0,1,20178.0,20320.0,ramzinex,nobitex,1015.7
2023-12-18 16:02:15,1702902732620,0,NOBITEX-RAMZINEX,ONEIRT,152,7120.0,7110.0,7086.0,7011.0,245.0,1367.0,5177.3,11149.42,32808.0,1.0033869602032177,0,1,7086.0,7110.0,ramzinex,nobitex,1367.0
2023-12-18 16:02:15,1702902732477,0,NOBITEX-RAMZINEX,DYDXIRT,251,1454970.0,1450000.0,1447251.0,1429987.0,4870.0,1.0,11.43,45.479,2749.0,1.0018994631891773,0,1,1447251.0,1450000.0,ramzinex,nobitex,1.0
2023-12-18 16:02:15,1702902733102,0,NOBITEX-RAMZINEX,SHIBIRT,61,5036.0,5020.0,501.0,500.0,82382.0,4528.0,1711822.6799,248031.15,45280.0,1.001996007984032,0,10,5010.0,5020.0,ramzinex,nobitex,4528.0
2023-12-18 16:02:15,1702902732620,0,NOBITEX-RAMZINEX,1B_BABYDOGEIRT,256,722300.0,719000.0,750.0,731.0,989.343,178.415,57171.5,95360.1,829632.87,1.0120448567077391,0,1000,722300.0,731000.0,nobitex,ramzinex,95.3601
2023-12-18 16:02:18,1702902737414,0,NOBITEX-RAMZINEX,DOGEIRT,10,45048.0,44831.0,44830.0,44637.0,1114.0,222.0,175.0,3128.0,175.0,1.0000223064911888,0,1,44830.0,44831.0,ramzinex,nobitex,175.0
2023-12-18 16:02:18,1702902737533,0,NOBITEX-RAMZINEX,CELRIRT,269,9100.0,9070.0,8953.0,8925.0,4161.1,2880.0,452.0101,120.0,52885.1817,1.0130682452809114,0,1,8953.0,9070.0,ramzinex,nobitex,452.0101
2023-12-18 16:02:18,1702902737529,0,NOBITEX-RAMZINEX,GMXIRT,370,22140550.0,21870070.0,21858017.0,19350003.0,190.0,0.2217,0.176,0.17,2121.328,1.000551422391153,0,1,21858017.0,21870070.0,ramzinex,nobitex,0.176
2023-12-18 16:02:18,1702902737470,0,NOBITEX-RAMZINEX,SNXIRT,374,1798000.0,1785090.0,2150000.0,2030405.0,242.8,2.9,0.05,0.95,220784.75,1.1292575083426029,0,1,1798000.0,2030405.0,nobitex,ramzinex,0.95
2023-12-18 16:02:18,1702902737587,0,NOBITEX-RAMZINEX,SKLIRT,391,20400.0,20320.0,20178.0,19879.0,400.0,1015.7,9306.0,9552.0,144229.4,1.007037367429874,0,1,20178.0,20320.0,ramzinex,nobitex,1015.7
2023-12-18 16:02:18,1702902737588,0,NOBITEX-RAMZINEX,ONEIRT,152,7120.0,7110.0,7086.0,7011.0,245.0,1367.0,5177.3,11149.42,32808.0,1.0033869602032177,0,1,7086.0,7110.0,ramzinex,nobitex,1367.0
2023-12-18 16:02:18,1702902737444,0,NOBITEX-RAMZINEX,DYDXIRT,251,1454970.0,1450000.0,1447251.0,1429987.0,4870.0,1.0,11.43,45.479,2749.0,1.0018994631891773,0,1,1447251.0,1450000.0,ramzinex,nobitex,1.0
2023-12-18 16:02:18,1702902738058,0,NOBITEX-RAMZINEX,SHIBIRT,61,5036.0,5020.0,501.0,500.0,82382.0,4528.0,1711822.6799,248031.15,45280.0,1.001996007984032,0,10,5010.0,5020.0,ramzinex,nobitex,4528.0
2023-12-18 16:02:18,1702902737582,0,NOBITEX-RAMZINEX,1B_BABYDOGEIRT,256,722300.0,719000.0,749.0,731.0,989.343,178.415,296843.7,95360.1,829632.87,1.0120448567077391,0,1000,722300.0,731000.0,nobitex,ramzinex,95.3601
2023-12-18 16:02:20,1702902739472,0,NOBITEX-RAMZINEX,DOGEIRT,10,45048.0,44831.0,44830.0,44637.0,1114.0,222.0,175.0,3128.0,175.0,1.0000223064911888,0,1,44830.0,44831.0,ramzinex,nobitex,175.0
2023-12-18 16:02:20,1702902739593,0,NOBITEX-RAMZINEX,CELRIRT,269,9100.0,9070.0,8953.0,8925.0,4161.1,2880.0,452.0101,120.0,52885.1817,1.0130682452809114,0,1,8953.0,9070.0,ramzinex,nobitex,452.0101
2023-12-18 16:02:20,1702902739588,0,NOBITEX-RAMZINEX,GMXIRT,370,22140550.0,21870070.0,21858017.0,19350003.0,190.0,0.2217,0.176,0.17,2121.328,1.000551422391153,0,1,21858017.0,21870070.0,ramzinex,nobitex,0.176
2023-12-18 16:02:20,1702902739522,0,NOBITEX-RAMZINEX,SNXIRT,374,1798000.0,1785090.0,2150000.0,2030405.0,242.8,2.9,0.05,0.95,220784.75,1.1292575083426029,0,1,1798000.0,2030405.0,nobitex,ramzinex,0.95
2023-12-18 16:02:20,1702902739649,0,NOBITEX-RAMZINEX,SKLIRT,391,20400.0,20320.0,20178.0,19879.0,400.0,1015.7,9306.0,9552.0,144229.4,1.007037367429874,0,1,20178.0,20320.0,ramzinex,nobitex,1015.7
2023-12-18 16:02:20,1702902739642,0,NOBITEX-RAMZINEX,ONEIRT,152,7120.0,7110.0,7086.0,7011.0,245.0,1367.0,5177.3,11149.42,32808.0,1.0033869602032177,0,1,7086.0,7110.0,ramzinex,nobitex,1367.0
2023-12-18 16:02:20,1702902739506,0,NOBITEX-RAMZINEX,DYDXIRT,251,1454970.0,1450000.0,1447251.0,1429987.0,4868.0,1.0,11.43,45.479,2749.0,1.0018994631891773,0,1,1447251.0,1450000.0,ramzinex,nobitex,1.0
2023-12-18 16:02:20,1702902739445,0,NOBITEX-RAMZINEX,SHIBIRT,61,5036.0,5020.0,501.0,500.0,82382.0,4528.0,1711822.6799,447975.15,45280.0,1.001996007984032,0,10,5010.0,5020.0,ramzinex,nobitex,4528.0
2023-12-18 16:02:20,1702902739646,0,NOBITEX-RAMZINEX,1B_BABYDOGEIRT,256,722300.0,719000.0,749.0,731.0,989.343,178.415,296843.7,95360.1,829632.87,1.0120448567077391,0,1000,722300.0,731000.0,nobitex,ramzinex,95.3601
2023-12-18 16:02:23,1702902742163,0,NOBITEX-RAMZINEX,DOGEIRT,10,45049.0,44831.0,44830.0,44636.0,1114.0,222.0,175.0,4756.0,175.0,1.0000223064911888,0,1,44830.0,44831.0,ramzinex,nobitex,175.0
2023-12-18 16:02:23,1702902741622,0,NOBITEX-RAMZINEX,CELRIRT,269,9100.0,9070.0,8953.0,8925.0,4161.1,2880.0,452.0101,120.0,52885.1817,1.0130682452809114,0,1,8953.0,9070.0,ramzinex,nobitex,452.0101
2023-12-18 16:02:23,1702902741614,0,NOBITEX-RAMZINEX,GMXIRT,370,22140550.0,21870070.0,21858017.0,19350003.0,190.0,0.2217,0.176,0.17,2121.328,1.000551422391153,0,1,21858017.0,21870070.0,ramzinex,nobitex,0.176
2023-12-18 16:02:23,1702902741548,0,NOBITEX-RAMZINEX,SNXIRT,374,1798000.0,1785090.0,2150000.0,2030405.0,242.8,2.9,0.05,0.95,220784.75,1.1292575083426029,0,1,1798000.0,2030405.0,nobitex,ramzinex,0.95
2023-12-18 16:02:23,1702902741688,0,NOBITEX-RAMZINEX,SKLIRT,391,20400.0,20320.0,20178.0,19879.0,400.0,1015.7,9306.0,9552.0,144229.4,1.007037367429874,0,1,20178.0,20320.0,ramzinex,nobitex,1015.7
2023-12-18 16:02:23,1702902741664,0,NOBITEX-RAMZINEX,ONEIRT,152,7120.0,7110.0,7086.0,7011.0,245.0,71690.4,5177.3,11149.42,124255.20000000001,1.0033869602032177,0,1,7086.0,7110.0,ramzinex,nobitex,5177.3
2023-12-18 16:02:23,1702902741519,0,NOBITEX-RAMZINEX,DYDXIRT,251,1454970.0,1450000.0,1447251.0,1429987.0,4868.0,1.0,11.43,45.479,2749.0,1.0018994631891773,0,1,1447251.0,1450000.0,ramzinex,nobitex,1.0
2023-12-18 16:02:23,1702902742137,0,NOBITEX-RAMZINEX,SHIBIRT,61,5034.0,5020.0,501.0,500.0,10625.0,4528.0,1711822.6799,447975.15,45280.0,1.001996007984032,0,10,5010.0,5020.0,ramzinex,nobitex,4528.0
2023-12-18 16:02:23,1702902741686,0,NOBITEX-RAMZINEX,1B_BABYDOGEIRT,256,722300.0,719000.0,749.0,731.0,989.343,178.415,296843.7,95360.1,829632.87,1.0120448567077391,0,1000,722300.0,731000.0,nobitex,ramzinex,95.3601
2023-12-18 16:02:23,1702902741667,0,NOBITEX-RAMZINEX,100K_FLOKIIRT,273,1728958.0,1727500.0,1727.0,1705.0,164.846,6.325,121200.0,115200.0,3162.5,1.0002895193977996,1,1000,1727000.0,1727500.0,ramzinex,nobitex,6.325
2023-12-18 16:02:25,1702902743485,0,NOBITEX-RAMZINEX,DOGEIRT,10,45049.0,44831.0,44830.0,44636.0,1114.0,222.0,175.0,4756.0,175.0,1.0000223064911888,0,1,44830.0,44831.0,ramzinex,nobitex,175.0
